"","Year","AddressAssessorMunicipalityDesc","TaxClassCode","assessTotal","landTotal","improvementTotal","propertyCount","rate"
"1",2016,"Anmore","01",236615000,138601200,98013800,83,3.9752
"2",2016,"Anmore","06",21996100,8001200,13994900,10,9.4923
"3",2016,"Belcarra","01",213383200,176215100,37168100,72,3.725537
"4",2016,"Bowen Island","01",202035700,159967600,42068100,91,4.44336
"5",2016,"Bowen Island","05",204000,189000,15000,1,19.51418
"6",2016,"Bowen Island","06",57737900,32221900,25516000,83,10.31824
"7",2016,"Burnaby","01",8142619700,5579738300,2562881400,1644,3.7914
"8",2016,"Burnaby","05",1641357100,1104831300,536525800,410,15.7139
"9",2016,"Burnaby","06",15840453812,9315847406,6524606406,3728,15.3873
"10",2016,"Coquitlam","01",2746513200,2176057200,570456000,424,4.736
"11",2016,"Coquitlam","05",424272200,266106400,158165800,180,19.9478
"12",2016,"Coquitlam","06",4666351202,2887317301,1779033901,1234,19.3959
"13",2016,"Delta","01",1153594718,810205400,343389318,335,5.2024
"14",2016,"Delta","05",1786922600,1224422200,562500400,413,17.1234
"15",2016,"Delta","06",4313912620,2586312910,1727599710,1745,17.2278
"16",2016,"Langley - City","01",342819100,138872500,203946600,95,5.7665
"17",2016,"Langley - City","05",150410600,93383000,57027600,78,17.1802
"18",2016,"Langley - City","06",1442883400,822743220,620140180,631,17.4557
"19",2016,"Langley - Township","01",2054469300,1568676200,485793100,738,5.39391
"20",2016,"Langley - Township","05",1331098600,804179100,526919500,351,16.24105
"21",2016,"Langley - Township","06",4199854322,2234516511,1965337811,1766,16.62656
"22",2016,"Maple Ridge","01",518730402,303237601,215492801,229,6.6625
"23",2016,"Maple Ridge","05",236684600,152055000,84629600,200,19.1461
"24",2016,"Maple Ridge","06",1994791083,1175146171,819644912,1045,18.8146
"25",2016,"Maple Ridge Rural","01",43944602,35070300,8874302,33,6.6625
"26",2016,"Maple Ridge Rural","06",23152801,8735200,14417601,75,18.8146
"27",2016,"North Vancouver - City","01",2259717400,1470046400,789671000,339,3.8052
"28",2016,"North Vancouver - City","05",57539400,33936500,23602900,30,19.39879
"29",2016,"North Vancouver - City","06",4086675300,2934224300,1152451000,1288,15.0744
"30",2016,"North Vancouver - Dist","01",5059390400,3730116300,1329274100,1456,3.8052
"31",2016,"North Vancouver - Dist","05",87918900,58937500,28981400,42,19.39879
"32",2016,"North Vancouver - Dist","06",3183250600,2215944600,967306000,1538,15.0744
"33",2016,"Pitt Meadows","01",236081600,197752000,38329600,71,6.0775
"34",2016,"Pitt Meadows","05",52108000,29393200,22714800,37,23.6601
"35",2016,"Pitt Meadows","06",596085078,339596378,256488700,226,18.0912
"36",2016,"Port Coquitlam","01",479564802,343413101,136151701,115,5.4029
"37",2016,"Port Coquitlam","05",491889700,327434700,164455000,245,19.9587
"38",2016,"Port Coquitlam","06",2265000326,1311907501,953092825,974,18.0294
"39",2016,"Port Moody","01",618058400,499152500,118905900,166,5.1539
"40",2016,"Port Moody","05",39068000,29603400,9464600,28,23.8346
"41",2016,"Port Moody","06",1008518711,666561506,341957205,425,15.6311
"42",2016,"Richmond","01",6989997000,4963011500,2026985500,2330,3.88196
"43",2016,"Richmond","05",2516660000,1490084400,1026575600,611,13.91547
"44",2016,"Richmond","06",15630922839,9679360425,5951562414,7081,13.58797
"45",2016,"Surrey","01",8248704271,5723003092,2525701179,2594,4.44468
"46",2016,"Surrey","05",2077858500,1384779300,693079200,860,13.46162
"47",2016,"Surrey","06",16286391002,8404167601,7882223401,7269,13.93088
"48",2016,"Vancouver","01",114255368499,93274879101,20980489398,30605,3.16567
"49",2016,"Vancouver","05",1187843700,1030594300,157249400,436,14.39101
"50",2016,"Vancouver","06",67601609817,46112840901,21488768916,14391,13.86306
"51",2016,"West Vancouver","01",28716631800,22112395700,6604236100,7946,2.96932
"52",2016,"West Vancouver","05",2977000,2977000,0,2,23.9574
"53",2016,"West Vancouver","06",1788932200,1212389300,576542900,503,11.1775
"54",2016,"White Rock","01",954670900,607683400,346987500,326,5.02678
"55",2016,"White Rock","06",432093404,285235702,146857702,303,13.83496
"56",2017,"Anmore","01",203799600,138075000,65724600,46,3.2393
"57",2017,"Anmore","06",24253900,11636000,12617900,10,8.3009
"58",2017,"Belcarra","01",239505000,202081200,37423800,56,2.945625
"59",2017,"Bowen Island","01",217372500,180608200,36764300,77,3.36674
"60",2017,"Bowen Island","05",203000,189000,14000,1,15.11387
"61",2017,"Bowen Island","06",66221200,44312400,21908800,82,7.92087
"62",2017,"Burnaby","01",9121654040,6994435940,2127218100,1109,2.9935
"63",2017,"Burnaby","05",1929130100,1447020000,482110100,403,13.9122
"64",2017,"Burnaby","06",18234095774,11545577967,6688517807,3747,13.6065
"65",2017,"Coquitlam","01",3015691000,2434610400,581080600,326,3.6934
"66",2017,"Coquitlam","05",468688300,292170200,176518100,179,18.0293
"67",2017,"Coquitlam","06",5233780902,3516172301,1717608601,1255,17.0588
"68",2017,"Delta","01",1563434995,1225345895,338089100,325,5.23292330666667
"69",2017,"Delta","05",2065161900,1304341000,760820900,410,17.1140210452261
"70",2017,"Delta","06",5296294100,3438655000,1857639100,1768,16.1291053246588
"71",2017,"Langley - City","01",399232900,179125900,220107000,90,4.5247
"72",2017,"Langley - City","05",176402300,129981000,46421300,78,15.4891
"73",2017,"Langley - City","06",1656733000,1038967620,617765380,628,14.5987
"74",2017,"Langley - Township","01",2478642200,2043973200,434669000,647,4.17314
"75",2017,"Langley - Township","05",1512419300,912105700,600313600,353,14.61328
"76",2017,"Langley - Township","06",4893231402,2754999301,2138232101,1781,15.17387
"77",2017,"Maple Ridge","01",585623802,354052901,231570901,212,5.1154
"78",2017,"Maple Ridge","05",282352000,185063000,97289000,196,17.3572
"79",2017,"Maple Ridge","06",2330063484,1447229584,882833900,1047,17.0506
"80",2017,"Maple Ridge Rural","01",39935801,30847500,9088301,30,6.6625
"81",2017,"Maple Ridge Rural","06",24246101,10114000,14132101,74,18.8146
"82",2017,"North Vancouver - City","01",2913533000,1956502900,957030100,319,3.13805
"83",2017,"North Vancouver - City","05",64463700,44210200,20253500,27,13.81867
"84",2017,"North Vancouver - City","06",4601432900,3437236700,1164196200,1316,13.50989
"85",2017,"North Vancouver - Dist","01",5817398800,4438824400,1378574400,1108,2.93433
"86",2017,"North Vancouver - Dist","05",108119900,85021800,23098100,44,16.88008
"87",2017,"North Vancouver - Dist","06",3689219400,2821698900,867520500,1525,13.19157
"88",2017,"Pitt Meadows","01",272360800,233514300,38846500,66,4.8082
"89",2017,"Pitt Meadows","05",112727600,49415400,63312200,40,20.4637
"90",2017,"Pitt Meadows","06",654139478,391147778,262991700,221,16.3863
"91",2017,"Port Coquitlam","01",559766002,410167501,149598501,106,4.2107
"92",2017,"Port Coquitlam","05",519622200,339405800,180216400,246,18.6191
"93",2017,"Port Coquitlam","06",2484531851,1576790501,907741350,1000,16.6682
"94",2017,"Port Moody","01",624505800,526660700,97845100,160,4.1072
"95",2017,"Port Moody","05",46171700,37065000,9106700,29,21.8406
"96",2017,"Port Moody","06",1131567511,795005606,336561905,427,14.2156
"97",2017,"Richmond","01",7709975000,5928714500,1781260500,1738,3.00791
"98",2017,"Richmond","05",2772595400,1745627700,1026967700,605,12.03146
"99",2017,"Richmond","06",19098038102,13104097604,5993940498,7037,11.72489
"100",2017,"Surrey","01",9685563673,7366230688,2319332985,2207,3.45553
"101",2017,"Surrey","05",2438318970,1609155100,829163870,858,12.21187
"102",2017,"Surrey","06",19334955332,11105690501,8229264831,7357,12.44022
"103",2017,"Vancouver","01",139855485745,116012650000,23842835745,26183,2.55489
"104",2017,"Vancouver","05",1694644600,1550928800,143715800,416,14.0081
"105",2017,"Vancouver","06",82406624973,60004397708,22402227265,14296,12.44485
"106",2017,"West Vancouver","01",35702107000,29035875200,6666231800,7109,2.3493
"107",2017,"West Vancouver","05",3302000,3302000,0,2,24.1017
"108",2017,"West Vancouver","06",2053730500,1547524100,506206400,508,10.0055
"109",2017,"White Rock","01",1004284700,671083600,333201100,256,3.83534
"110",2017,"White Rock","06",518702304,349893202,168809102,304,12.21718
"111",2018,"Anmore","01",336606000,215192000,121414000,82,3.0459
"112",2018,"Anmore","06",26583900,13462000,13121900,10,7.4065
"113",2018,"Belcarra","01",301529600,253150200,48379400,69,2.74299
"114",2018,"Belcarra","06",3220500,2636600,583900,9,9.70235
"115",2018,"Bowen Island","01",259652000,218348400,41303600,84,3.30324
"116",2018,"Bowen Island","05",222100,209000,13100,1,14.33276
"117",2018,"Bowen Island","06",75582500,49957100,25625400,87,7.2699
"118",2018,"Burnaby","01",12298596658.857,10014718300,2283878358.857,1216,2.8395
"119",2018,"Burnaby","05",2348531487,1891519700,457011787,403,11.9395
"120",2018,"Burnaby","06",22377726720,16057195713,6320531007,3803,11.6773
"121",2018,"Coquitlam","01",4478269615,3949179600,529090015,456,3.4538
"122",2018,"Coquitlam","05",570543900,389177400,181366500,180,15.5567
"123",2018,"Coquitlam","06",6542834402,4792114201,1750720201,1249,14.2383
"124",2018,"Delta","01",1654061800,1359543100,294518700,324,3.93699949579832
"125",2018,"Delta","05",2403025000,1500956200,902068800,405,15.1306103184713
"126",2018,"Delta","06",6099364400,4076641800,2022722600,1811,15.4287180857676
"127",2018,"Langley - City","01",474099300,196240700,277858600,94,4.0934
"128",2018,"Langley - City","05",209456500,155941000,53515500,77,13.5786
"129",2018,"Langley - City","06",1902647100,1194472000,708175100,630,13.0594
"130",2018,"Langley - Township","01",4737991700,3947788850,790202850,1053,3.71079
"131",2018,"Langley - Township","05",1808766700,1121815200,686951500,362,12.828
"132",2018,"Langley - Township","06",5522810102,3242696901,2280113201,1799,13.52119
"133",2018,"Lions Bay","01",165648500,142782500,22866000,41,2.7758
"134",2018,"Lions Bay","06",44185500,41456500,2729000,24,11.098
"135",2018,"Maple Ridge","01",716219802,432825801,283394001,237,4.6299
"136",2018,"Maple Ridge","05",326503300,225535700,100967600,199,15.4915
"137",2018,"Maple Ridge","06",2592868655,1683232555,909636100,1053,15.2237
"138",2018,"Maple Ridge Rural","01",47977501,41416200,6561301,31,6.6625
"139",2018,"Maple Ridge Rural","06",26241501,12862200,13379301,74,18.8146
"140",2018,"North Vancouver - City","01",3439064200,2435001500,1004062700,355,2.94644
"141",2018,"North Vancouver - City","05",84314100,66742000,17572100,27,12.11713
"142",2018,"North Vancouver - City","06",5279388500,3989171600,1290216900,1350,11.85212
"143",2018,"North Vancouver - Dist","01",6736342200,5095945800,1640396400,1255,2.85467
"144",2018,"North Vancouver - Dist","05",158459900,145057700,13402200,42,13.35655
"145",2018,"North Vancouver - Dist","06",4555992100,3721130500,834861600,1520,10.97047
"146",2018,"Pitt Meadows","01",307642400,248701600,58940800,75,4.3802
"147",2018,"Pitt Meadows","05",127021900,63791800,63230100,40,18.4553
"148",2018,"Pitt Meadows","06",772894278,467452778,305441500,223,14.7132
"149",2018,"Port Coquitlam","01",644667102,479005501,165661601,120,3.8724
"150",2018,"Port Coquitlam","05",593301400,423040400,170261000,241,22.35339
"151",2018,"Port Coquitlam","06",2889864429,1986651701,903212728,1021,14.5363
"152",2018,"Port Moody","01",704977700,592237300,112740400,170,3.9071
"153",2018,"Port Moody","05",52721800,45231500,7490300,28,19.8302
"154",2018,"Port Moody","06",1352769311,1017917406,334851905,425,12.3033
"155",2018,"Richmond","01",9225520500,7146052800,2079467700,1963,2.87752
"156",2018,"Richmond","05",3172167700,1980375100,1191792600,597,10.46565
"157",2018,"Richmond","06",22963376318,16767633602,6195742716,7092,10.20269
"158",2018,"Surrey","01",12522246084,9134230801,3388015283,2522,3.26382
"159",2018,"Surrey","05",3002445700,2064817500,937628200,862,10.70939
"160",2018,"Surrey","06",22092910043,13434825091,8658084952,7430,11.32181
"161",2018,"Vancouver","01",149246451354.485,121551060502,27695390852.4848,26464,2.46826
"162",2018,"Vancouver","05",2104309214,2025411000,78898214,405,12.09002
"163",2018,"Vancouver","06",96653333012,76108292013,20545040999,14495,10.85419
"164",2018,"West Vancouver","01",36493262602,29333656801,7159605801,7217,2.324
"165",2018,"West Vancouver","05",3626000,3626000,0,2,24.2817
"166",2018,"West Vancouver","06",2361189800,1764583400,596606400,510,8.8008
"167",2018,"White Rock","01",1085517100,750833700,334683400,291,3.72351
"168",2018,"White Rock","06",545943604,372676102,173267502,305,11.389
"169",2019,"Anmore","01",427359900,270087000,157272900,104,3.0543
"170",2019,"Anmore","06",27153400,14137000,13016400,9,6.8042
"171",2019,"Belcarra","01",300878200,247211200,53667000,68,2.84418
"172",2019,"Belcarra","06",2996600,2431600,565000,9,8.26792
"173",2019,"Bowen Island","01",314422600,266391600,48031000,95,3.47305
"174",2019,"Bowen Island","05",221400,209000,12400,1,14.69778
"175",2019,"Bowen Island","06",80673700,54890600,25783100,86,7.54735
"176",2019,"Burnaby","01",15608904826,12063806201,3545098625,1179,2.8411
"177",2019,"Burnaby","05",2985512700,2716323300,269189400,404,10.3229
"178",2019,"Burnaby","06",26550545017,20987954810,5562590207,3866,10.0987
"179",2019,"Coquitlam","01",6288664500,5479671100,808993400,938,3.3929
"180",2019,"Coquitlam","05",660139600,486572200,173567400,177,13.2865
"181",2019,"Coquitlam","06",7916551002,6005925001,1910626001,1259,12.0268
"182",2019,"Delta","01",1884086800,1540785700,343301100,377,3.86533611940298
"183",2019,"Delta","05",2784928000,2043754900,741173100,412,12.6786412060302
"184",2019,"Delta","06",6771636490.011,5101430600,1670205890.011,1833,13.4335329963235
"185",2019,"Langley - City","01",692674700,337187500,355487200,111,3.8089
"186",2019,"Langley - City","05",255400100,208455000,46945100,78,11.9418
"187",2019,"Langley - City","06",2172379000,1510343200,662035800,627,11.8916
"188",2019,"Langley - Township","01",6510640100,5561396100,949244000,1390,3.58111
"189",2019,"Langley - Township","05",2138286893,1462241593,676045300,370,11.35476
"190",2019,"Langley - Township","06",6218410802,3827493601,2390917201,1812,12.38966
"191",2019,"Lions Bay","01",160445800,137371600,23074200,41,2.9491
"192",2019,"Lions Bay","06",41636300,39096000,2540300,24,10.1207
"193",2019,"Maple Ridge","01",967243002,602988401,364254601,279,4.4109
"194",2019,"Maple Ridge","05",369356700,269085900,100270800,203,13.9186
"195",2019,"Maple Ridge","06",2802969061,1955816161,847152900,1036,13.6912
"196",2019,"Maple Ridge Rural","01",72205102,63339700,8865402,34,6.6625
"197",2019,"Maple Ridge Rural","06",27566801,14363400,13203401,73,18.8146
"198",2019,"North Vancouver - City","01",4215480700,3284097300,931383400,424,2.95925
"199",2019,"North Vancouver - City","05",107549194,80370700,27178494,28,10.26387
"200",2019,"North Vancouver - City","06",6410745200,5244791400,1165953800,1360,10.03666
"201",2019,"North Vancouver - Dist","01",7059807600,5546966000,1512841600,1188,2.9269
"202",2019,"North Vancouver - Dist","05",169630500,151458300,18172200,44,12.07207
"203",2019,"North Vancouver - Dist","06",5268667100,4391582100,877085000,1524,9.37931
"204",2019,"Pitt Meadows","01",258396600,187510400,70886200,65,4.2132
"205",2019,"Pitt Meadows","05",151583000,93921500,57661500,43,18.0331
"206",2019,"Pitt Meadows","06",953100978,621632678,331468300,224,13.3676
"207",2019,"Port Coquitlam","01",789387902,589393301,199994601,120,3.7707
"208",2019,"Port Coquitlam","05",719117600,514763400,204354200,243,13.7099
"209",2019,"Port Coquitlam","06",3544168236,2465782101,1078386135,1052,12.6559
"210",2019,"Port Moody","01",996160300,869979600,126180700,242,3.8099
"211",2019,"Port Moody","05",62226900,55965400,6261500,28,17.7261
"212",2019,"Port Moody","06",1639051411,1296663406,342388005,439,10.4579
"213",2019,"Richmond","01",10009213200,8034446600,1974766600,1916,2.90614
"214",2019,"Richmond","05",3803444700,2668551800,1134892900,602,9.24436
"215",2019,"Richmond","06",28552478121,21304742502,7247735619,7121,9.01912
"216",2019,"Surrey","01",14064886585,10738695000,3326191585,2524,3.19493
"217",2019,"Surrey","05",3401886500,2539980800,861905700,862,9.60094
"218",2019,"Surrey","06",24406375703,16265038802,8141336901,7607,10.2118
"219",2019,"Vancouver","01",136347254154,108804269475,27542984679,23879,2.56116
"220",2019,"Vancouver","05",2869919613,2790053500,79866113,401,10.60885
"221",2019,"Vancouver","06",110069430522,89510794212,20558636310,14495,9.32931
"222",2019,"West Vancouver","01",29501232800,21986769800,7514463000,5827,2.51976
"223",2019,"West Vancouver","05",6069000,6069000,0,2,24.49337
"224",2019,"West Vancouver","06",2507677100,1882485100,625192000,486,7.7005
"225",2019,"White Rock","01",1012644200,652789400,359854800,247,3.74212
"226",2019,"White Rock","06",685428204,542855002,142573202,310,10.04928
